X,CH1,
Second,Volt,
-2.30000e-05,-7.99e-02,
-2.29600e-05,0.00e+00,
-2.29200e-05,-7.99e-02,
-2.28800e-05,0.00e+00,
-2.28400e-05,0.00e+00,
-2.28000e-05,0.00e+00,
-2.27600e-05,0.00e+00,
-2.27200e-05,7.99e-02,
-2.26800e-05,0.00e+00,
-2.26400e-05,7.99e-02,
-2.26000e-05,0.00e+00,
-2.25600e-05,7.99e-02,
-2.25200e-05,0.00e+00,
-2.24800e-05,0.00e+00,
-2.24400e-05,0.00e+00,
-2.24000e-05,0.00e+00,
-2.23600e-05,0.00e+00,
-2.23200e-05,-7.99e-02,
-2.22800e-05,0.00e+00,
-2.22400e-05,0.00e+00,
-2.22000e-05,0.00e+00,
-2.21600e-05,7.99e-02,
-2.21200e-05,7.99e-02,
-2.20800e-05,0.00e+00,
-2.20400e-05,7.99e-02,
-2.20000e-05,-7.99e-02,
-2.19600e-05,0.00e+00,
-2.19200e-05,0.00e+00,
-2.18800e-05,7.99e-02,
-2.18400e-05,0.00e+00,
-2.18000e-05,0.00e+00,
-2.17600e-05,0.00e+00,
-2.17200e-05,0.00e+00,
-2.16800e-05,0.00e+00,
-2.16400e-05,0.00e+00,
-2.16000e-05,7.99e-02,
-2.15600e-05,0.00e+00,
-2.15200e-05,0.00e+00,
-2.14800e-05,-7.99e-02,
-2.14400e-05,0.00e+00,
-2.14000e-05,0.00e+00,
-2.13600e-05,0.00e+00,
-2.13200e-05,-7.99e-02,
-2.12800e-05,0.00e+00,
-2.12400e-05,-7.99e-02,
-2.12000e-05,7.99e-02,
-2.11600e-05,0.00e+00,
-2.11200e-05,0.00e+00,
-2.10800e-05,0.00e+00,
-2.10400e-05,7.99e-02,
-2.10000e-05,0.00e+00,
-2.09600e-05,7.99e-02,
-2.09200e-05,0.00e+00,
-2.08800e-05,0.00e+00,
-2.08400e-05,7.99e-02,
-2.08000e-05,0.00e+00,
-2.07600e-05,0.00e+00,
-2.07200e-05,0.00e+00,
-2.06800e-05,0.00e+00,
-2.06400e-05,-7.99e-02,
-2.06000e-05,0.00e+00,
-2.05600e-05,0.00e+00,
-2.05200e-05,7.99e-02,
-2.04800e-05,0.00e+00,
-2.04400e-05,0.00e+00,
-2.04000e-05,0.00e+00,
-2.03600e-05,0.00e+00,
-2.03200e-05,0.00e+00,
-2.02800e-05,7.99e-02,
-2.02400e-05,0.00e+00,
-2.02000e-05,7.99e-02,
-2.01600e-05,-7.99e-02,
-2.01200e-05,0.00e+00,
-2.00800e-05,0.00e+00,
-2.00400e-05,0.00e+00,
-2.00000e-05,0.00e+00,
-1.99600e-05,0.00e+00,
-1.99200e-05,0.00e+00,
-1.98800e-05,7.99e-02,
-1.98400e-05,0.00e+00,
-1.98000e-05,0.00e+00,
-1.97600e-05,0.00e+00,
-1.97200e-05,0.00e+00,
-1.96800e-05,7.99e-02,
-1.96400e-05,0.00e+00,
-1.96000e-05,0.00e+00,
-1.95600e-05,0.00e+00,
-1.95200e-05,7.99e-02,
-1.94800e-05,0.00e+00,
-1.94400e-05,7.99e-02,
-1.94000e-05,7.99e-02,
-1.93600e-05,0.00e+00,
-1.93200e-05,7.99e-02,
-1.92800e-05,0.00e+00,
-1.92400e-05,0.00e+00,
-1.92000e-05,0.00e+00,
-1.91600e-05,0.00e+00,
-1.91200e-05,0.00e+00,
-1.90800e-05,0.00e+00,
-1.90400e-05,0.00e+00,
-1.90000e-05,0.00e+00,
-1.89600e-05,0.00e+00,
-1.89200e-05,7.99e-02,
-1.88800e-05,0.00e+00,
-1.88400e-05,0.00e+00,
-1.88000e-05,0.00e+00,
-1.87600e-05,0.00e+00,
-1.87200e-05,0.00e+00,
-1.86800e-05,0.00e+00,
-1.86400e-05,-7.99e-02,
-1.86000e-05,7.99e-02,
-1.85600e-05,0.00e+00,
-1.85200e-05,7.99e-02,
-1.84800e-05,-7.99e-02,
-1.84400e-05,0.00e+00,
-1.84000e-05,7.99e-02,
-1.83600e-05,0.00e+00,
-1.83200e-05,7.99e-02,
-1.82800e-05,0.00e+00,
-1.82400e-05,0.00e+00,
-1.82000e-05,0.00e+00,
-1.81600e-05,0.00e+00,
-1.81200e-05,-7.99e-02,
-1.80800e-05,0.00e+00,
-1.80400e-05,0.00e+00,
-1.80000e-05,7.99e-02,
-1.79600e-05,0.00e+00,
-1.79200e-05,7.99e-02,
-1.78800e-05,0.00e+00,
-1.78400e-05,0.00e+00,
-1.78000e-05,0.00e+00,
-1.77600e-05,0.00e+00,
-1.77200e-05,-7.99e-02,
-1.76800e-05,0.00e+00,
-1.76400e-05,0.00e+00,
-1.76000e-05,0.00e+00,
-1.75600e-05,0.00e+00,
-1.75200e-05,0.00e+00,
-1.74800e-05,0.00e+00,
-1.74400e-05,0.00e+00,
-1.74000e-05,0.00e+00,
-1.73600e-05,0.00e+00,
-1.73200e-05,7.99e-02,
-1.72800e-05,0.00e+00,
-1.72400e-05,0.00e+00,
